Frame,Left,Top,Right,Bottom,Object_class
2,186,121,229,281,person
59,131,58,173,287,person
65,132,55,172,288,person
66,132,58,170,286,person
67,132,59,171,284,person
68,129,62,174,283,person
69,128,58,173,289,person
70,128,58,172,292,person
71,127,59,173,296,person
72,126,67,171,286,person
73,126,67,171,286,person
74,126,64,171,289,person
75,127,63,171,291,person
76,125,58,171,295,person
77,124,62,171,290,person
84,124,53,168,299,person
88,126,51,169,295,person
90,124,52,172,298,person
91,124,52,171,298,person
92,125,49,174,301,person
93,123,53,178,296,person
94,126,52,177,295,person
95,125,53,181,293,person
98,131,58,176,286,person
99,129,58,177,287,person
100,131,51,175,295,person
103,148,58,198,285,person
105,151,55,198,292,person
106,151,56,198,293,person
108,134,52,176,296,person
109,135,49,174,301,person
109,152,60,195,290,person
110,149,48,194,295,person
111,150,49,196,293,person
112,132,36,174,305,person
114,133,49,175,294,person
119,241,81,294,271,person
121,242,71,295,284,person
122,241,70,296,288,person
123,244,75,292,286,person
124,245,78,291,283,person
125,245,75,292,283,person
126,242,81,295,277,person
127,245,78,295,276,person
128,247,76,292,281,person
129,247,82,295,280,person
137,151,54,196,292,person
138,151,51,199,294,person
141,148,51,200,296,person
142,149,51,197,294,person
143,147,51,198,293,person
144,150,49,196,294,person
144,249,71,297,294,person
145,149,52,197,290,person
145,249,73,297,290,person
146,149,53,198,291,person
147,149,53,197,289,person
148,148,56,196,287,person
150,247,78,295,286,person
152,126,55,179,286,person
153,122,53,176,286,person
154,243,77,294,284,person
155,241,83,293,280,person
156,242,79,293,283,person
157,244,77,292,284,person
158,243,72,291,284,person
160,188,88,225,273,person
165,119,46,175,294,person
166,119,47,177,292,person
167,121,54,175,285,person
168,123,53,175,285,person
169,125,58,175,281,person
170,122,47,171,291,person
171,120,48,172,294,person
172,120,50,172,293,person
173,120,55,172,286,person
173,221,88,269,275,person
174,119,55,173,287,person
174,221,93,270,270,person
175,118,51,173,290,person
175,219,89,271,273,person
176,219,87,271,274,person
176,120,48,173,291,person
177,215,88,271,273,person
177,119,47,173,293,person
178,216,87,269,272,person
179,215,84,269,275,person
180,118,45,168,294,person
180,217,81,268,277,person
181,116,45,166,293,person
181,217,83,270,278,person
182,115,48,166,289,person
183,115,49,165,288,person
184,114,49,167,289,person
184,212,83,267,276,person
185,111,52,170,290,person
186,111,49,170,295,person
187,111,54,171,294,person
194,106,38,170,306,person
195,104,37,170,305,person
196,104,33,169,310,person
198,105,27,171,316,person
198,248,89,293,316,person
199,243,68,295,292,person
199,105,29,170,315,person
200,241,69,293,289,person
202,242,67,293,293,person
202,108,34,171,309,person
203,241,66,295,295,person
203,107,31,171,311,person
204,241,71,296,292,person
207,108,26,172,316,person
208,109,25,172,315,person
208,241,65,295,288,person
210,111,38,176,307,person
211,111,55,173,293,person
212,113,50,176,295,person
213,115,43,174,298,person
214,115,31,175,309,person
215,249,99,292,305,person
216,186,80,227,277,person
216,250,77,292,281,person
217,120,35,174,301,person
217,183,80,228,276,person
218,120,29,175,310,person
219,118,27,176,314,person
220,117,36,176,309,person
221,118,36,175,304,person
222,113,35,176,306,person
223,115,41,172,302,person
224,114,38,173,303,person
225,113,30,173,312,person
226,110,38,173,303,person
227,111,37,178,305,person
228,105,24,176,316,person
229,106,22,172,321,person
230,110,26,169,323,person
231,110,27,169,320,person
231,189,89,226,306,person
232,99,23,147,320,person
233,99,17,147,327,person
234,190,85,226,311,person
235,190,84,229,312,person
236,188,82,225,314,person
237,93,38,149,252,person
238,190,80,225,318,person
238,92,38,150,254,person
239,193,71,226,323,person
239,91,40,150,255,person
240,88,8,158,329,person
241,87,2,159,337,person
241,189,73,228,321,person
242,88,-7,158,350,person
242,190,74,227,320,person
243,94,12,149,391,person
243,187,74,227,287,person
244,91,1,155,341,person
244,186,66,227,293,person
245,189,67,227,290,person
245,92,25,152,317,person
246,188,71,228,287,person
247,189,73,227,284,person
248,188,71,227,287,person
249,188,72,227,286,person
251,186,73,223,284,person
252,189,69,225,289,person
253,104,24,169,319,person
254,191,65,226,288,person
254,103,19,172,323,person
254,250,86,289,319,person
255,106,7,176,335,person
255,190,66,226,289,person
255,251,86,290,321,person
256,189,65,227,292,person
256,106,5,178,336,person
256,253,89,295,323,person
257,252,84,297,329,person
257,189,68,228,289,person
257,104,15,183,325,person
258,187,67,228,289,person
258,108,22,180,316,person
258,253,71,299,335,person
259,110,27,179,310,person
259,184,66,230,291,person
260,110,21,180,320,person
261,109,18,182,323,person
261,187,87,232,318,person
262,108,19,181,321,person
262,181,71,233,284,person
263,184,86,228,318,person
264,185,86,228,317,person
264,268,85,327,324,person
264,104,9,180,327,person
265,183,82,227,320,person
265,268,71,328,294,person
266,181,88,227,314,person
266,270,80,326,326,person
267,183,84,227,321,person
268,182,79,227,322,person
268,269,85,327,327,person
269,183,82,228,321,person
269,269,87,327,327,person
270,184,89,228,314,person
271,185,90,230,313,person
272,182,69,233,292,person
272,91,22,152,270,person
272,269,66,330,300,person
273,182,69,231,295,person
273,88,28,152,264,person
273,265,73,328,295,person
274,185,76,225,328,person
274,87,26,152,263,person
275,188,77,227,327,person
275,86,17,153,269,person
276,188,78,224,325,person
276,87,18,152,267,person
277,186,79,225,323,person
278,187,75,224,327,person
279,186,71,224,332,person
279,86,24,150,259,person
280,187,77,225,322,person
281,188,73,228,330,person
282,188,76,227,325,person
283,188,65,227,338,person
284,187,74,227,331,person
284,250,70,296,341,person
284,87,13,150,278,person
285,189,77,229,326,person
285,252,75,294,333,person
286,188,75,227,327,person
286,252,77,293,330,person
286,85,15,151,270,person
287,187,80,226,321,person
287,87,9,152,275,person
287,251,84,291,323,person
288,185,82,227,321,person
288,87,1,151,286,person
288,251,82,291,327,person
289,188,73,225,329,person
289,88,3,154,288,person
290,188,78,223,326,person
290,253,77,295,337,person
291,186,71,225,333,person
291,245,95,302,378,person
292,186,71,223,334,person
293,185,69,224,337,person
294,186,73,222,331,person
295,186,74,225,332,person
296,185,79,226,328,person
297,184,83,225,323,person
298,186,78,226,327,person
299,185,81,230,324,person
300,184,69,234,339,person
301,184,78,232,329,person
302,185,75,234,334,person
302,275,86,328,323,person
303,185,71,234,337,person
303,273,92,327,322,person
304,185,69,234,340,person
304,274,93,330,320,person
305,186,75,235,333,person
306,187,76,233,329,person
306,273,71,330,292,person
307,183,75,233,333,person
307,83,-4,156,289,person
307,270,82,331,330,person
